ID,Name,Concepticon_ID,Concepticon_Gloss
1,all,98,ALL
2,ashes,646,ASH
3,bark,1204,BARK
4,belly,1251,BELLY
5,big,1202,BIG
6,bird,937,BIRD
7,bite,1403,BITE
8,black,163,BLACK
9,blood,946,BLOOD
10,bone,1394,BONE
11,breast,1402,BREAST
12,burn tr.,141,BURN (SOMETHING)
13,claw (nail),2128,CLAW OR NAIL
14,cloud,1489,CLOUD
15,cold,1287,COLD
16,come,1446,COME
17,die,1494,DIE
18,dog,2009,DOG
19,drink,1401,DRINK
20,dry,1398,DRY
21,ear,1247,EAR
22,earth,1228,EARTH (SOIL)
23,eat,1336,EAT
24,egg,744,EGG
25,eye,1248,EYE
26,fat n.,1282,FAT (FROM ANIMALS)
27,feather,1201,FEATHER
28,fire,221,FIRE
29,fish,227,FISH
30,fly v.,1441,FLY (MOVE THROUGH AIR)
31,foot,1301,FOOT
32,full,1429,FULL
33,give,1447,GIVE
34,good,1035,GOOD
35,green,1425,GREEN
36,hair,1040,HAIR
37,hand,1277,HAND
38,head,1256,HEAD
39,hear,1408,HEAR
40,heart,1223,HEART
41,horn,1393,HORN (ANATOMY)
42,I,1209,I
43,kill,1417,KILL
44,knee,1371,KNEE
45,know,1410,KNOW (SOMETHING)
46,leaf,628,LEAF
47,lie,1411,LIE (REST)
48,liver,1224,LIVER
49,long,1203,LONG
50,louse,1392,LOUSE
51,man,1554,MAN
52,many,1198,MANY
53,meat,634,MEAT
54,moon,1313,MOON
55,mountain,639,MOUNTAIN
56,mouth,674,MOUTH
57,name,1405,NAME
58,neck,1333,NECK
59,new,1231,NEW
60,night,1233,NIGHT
61,nose,1221,NOSE
62,not,1240,NOT
63,one,1493,ONE
64,person,683,PERSON
65,rain,658,RAIN (PRECIPITATION)
66,red,156,RED
67,road,667,ROAD
68,root,670,ROOT
69,round,1395,ROUND
70,sand,671,SAND
71,say,1458,SAY
72,see,1409,SEE
73,seed,714,SEED
74,sit,1416,SIT
75,skin,763,SKIN
76,sleep,1585,SLEEP
77,small,1246,SMALL
78,smoke,778,SMOKE (EXHAUST)
79,stand,1442,STAND
80,star,1430,STAR
81,stone,857,STONE
82,sun,1343,SUN
83,swim,1439,SWIM
84,tail,1220,TAIL
85,that,78,THAT
86,this,1214,THIS
87,thou,1215,THOU
88,tongue,1205,TONGUE
89,tooth,1380,TOOTH
90,tree,906,TREE
91,two,1498,TWO
92,walk(go),1443,WALK
93,warm,1232,WARM
94,water,948,WATER
95,we,1212,WE
96,what,1236,WHAT
97,white,1335,WHITE
98,who,1235,WHO
99,woman,962,WOMAN
100,yellow,1424,YELLOW
101,far,1406,FAR
102,heavy,1210,HEAVY
103,near,1942,NEAR
104,salt,1274,SALT
105,short,1645,SHORT
106,snake,730,SNAKE
107,thin,2249,THIN (OF SHAPE OF OBJECT)
108,wind,960,WIND
109,worm,1219,WORM
110,year,1226,YEAR
